Player
AB de Villiers
Abdul Samad
Abhishek Porel
Abhishek Sharma
Adam Gilchrist
Aden Lyth
Aiden Markram
Ajinkya Rahane
Akash Deep
Akash Madhwal
Albie Morkel
Alzarri Joseph
Ambati Rayudu
Amit Mishra
Andre Russell
Anil Kumble
Anrich Nortje
Arjun Tendulkar
Arshdeep Singh
Ashish Nehra
Ashutosh Sharma
Avesh Khan
Axar Patel
Ben Stokes
Bhuvneshwar Kumar
Brendon McCullum
Brett Lee
Cameron Green
Cameron White
Carlos Brathwaite
Chris Gayle
Chris Morris
Corey Anderson
Dale Steyn
David Miller
David Warner
Deepak Chahar
Deepak Hooda
Devdutt Padikkal
Dewald Brevis
Dhawal Kulkarni
Dhruv Jurel
Dinesh Karthik
Doug Bollinger
Dwayne Bravo
Dwayne Smith
Faf du Plessis
Finn Allen
Gautam Gambhir
Gerald Coetzee
Glenn Maxwell
Glenn McGrath
Glenn Philips
Graeme Smith
Harbhajan Singh
Hardik Pandya
Harpreet Brar
Harshal Patel
Harshit Rana
Imran Tahir
Irfan Pathan
Ishan Kishan
JP Duminy
Jacques Kallis
Jake Fraser-McGurk
James Faulkner
Jason Holder
Jasprit Bumrah
Jayant Yadav
Jean-Pierre Pietersen
Jofra Archer
Jonny Bairstow
Jos Buttler
Josh Hazlewood
KL Rahul
Kagiso Rabada
Kamlesh Nagarkoti
Kane Williamson
Karn Sharma
Keshav Maharaj
Kevin Pietersen
Khaleel Ahmed
Kieron Pollard
Krunal Pandya
Kuldeep Sen
Kuldeep Yadav
Kumar Sangakara
Kyle Mayers
Lakshmipathy Balaji
Lasith Malinga
Liam Livingstone
Lockie Ferguson
Lungi Ngidi
MS Dhoni
Maheesh Theekshana
Mahela Jayawardene
Mahipal Lomror
Manish Pandey
Manoj Tiwary
Marco Jansen
Marcus Stoinis
Mark Wood
Matheesha Pathirana
Matthew Hayden
Mayank Agarwal
Michael Hussey
Mike Hussey
Mitchell Johnson
Mitchell McClenaghan
Mitchell Santner
Mitchell Starc
Mithun Manhas
Moeen Ali
Mohammed Nabi
Mohammed Shami
Mohammed Siraj
Morne Morkel
Munaf Patel
Nathan Ellis
Navdeep Saini
Nehal Wadhera
Nicholas Pooran
Nitish Kumar Reddy
Nitish Rana
Noor Ahmed
Parthiv Patel
Pat Cummins
Piyush Chawla
Prabhsimran Singh
Prasidh Krishna
Prithvi Shaw
Priyam Garg
Quinton de Kock
R Sai Kishore
Rachin Ravindra
Rahmanullah Gurbaz
Rahul Chahar
Rahul Dravid
Rahul Tewatia
Rahul Tripathi
Rajat Patidar
Rashid Khan
Ravi Ashwin
Ravichandran Ashwin
Ravindra Jadeja
Ricky Ponting
Rilee Rossouw
Riley Meredith
Rinku Singh
Rishabh Pant
Riyan Parag
Robin Uthappa
Rohit Sharma
Romario Shephard
Ross Taylor
Ruturaj Gaikwad
S Shreesanth
Sachin Tendulkar
Sai Sudarshan
Sam Billings
Sam Curran
Sanju Samson
Shahbaz Ahmed
Shahrukh Khan
Shakib Al Hasan
Shane Warne
Shane Watson
Shardul Thakur
Shashank Singh
Shaun Marsh
Shaun Pollock
Shikhar Dhawan
Shimron Hetmyer
Shivam Dube
Shreyas Gopal
Shreyas Iyer
Shubman Gill
Sikander Raza
Sreenath Aravind
Steve Smith
Stuart Binny
Subramaniam Badrinath
Sunil Narine
Suresh Raina
Suryakumar Yadav
T Natarajan
Tilak Verma
Tim David
Tim Southee
Travis Head
Trent Boult
Tristan Stubbs
Umesh Yadav
Umran Malik
Vaibhav Arora
Varun Chakravarthy
Venkatesh Iyer
Vijay Shankar
Virat Kohli
Virender Sehwag
Wanindu Hasaranga
Washington Sundar
Wriddhiman Saha
Yash Dayal
Yashasvi Jaiswal
Yusuf Pathan
Yuvraj Singh
Yuzvendra Chahal
Zaheer Khan
